"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"3954","Shipped","Mar 28, 2019","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Majorariatto","Majorariatto"
"3958","Tennis Elbow 4","Jun 4, 2021","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mana Games","Mana Games"
"3962","All-In-One Sports VR","Apr 7, 2023","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Appnori Inc.","Appnori Inc."
"3965","SkateBIRD","Sep 16, 2021","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Glass Bottom Games","Glass Bottom Games"
"3971","MotoGP23","Jun 8, 2023","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3974","Kart Racing Pro","Jul 14, 2017","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PiBoSo","PiBoSo"
"3975","PropHunter","Aug 6, 2021","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alone Fox Games","Alone Fox Games"
"3979","Don Bradman Cricket 14","Jun 26, 2014","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios"
"3982","eSail Sailing Simulator","Mar 26, 2019","$37.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","eSail Ltd.","CDIS"
"3987","MXGP 2020 - The Official Motocross Videogame","Dec 16, 2020","$29.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3989","Leap up no Justu: Double","Dec 21, 2023","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PiHoEntertainment","Yin Games"
"3990","Out of the Park Baseball 24","Mar 24, 2023","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Out of the Park Developments","Out of the Park Developments"
"3992","Dog Sled Saga","Sep 22, 2016","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Trichotomy","Trichotomy"
"3996","VRC PRO","Mar 24, 2015","$44.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Virtual Racing Industries Ltd.","Virtual Racing Industries Ltd."
"4001","Legend Bowl","Sep 2, 2021","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Super Pixel Games","Super Pixel Games"
"4004","KAMITSUBAKI CITY ENSEMBLE","Aug 28, 2024","$2.39","N/A (N/A)","20,000 .. 50,000","09:57 (04:58)","KAMITSUBAKI STUDIO, Studio Lalala","KAMITSUBAKI STUDIO, Studio Lalala"
"4007","Turbo Golf Racing","Apr 4, 2024","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hugecalf Studios","Hugecalf Studios"
"4011","New Star GP","Mar 7, 2024","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","New Star Games Ltd.","Five Aces Publishing Ltd."
"4016","MXGP 2021 - The Official Motocross Videogame","Nov 30, 2021","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"4019","Out of the Park Baseball 25","Mar 15, 2024","N/A","N/A (N/A)","20,000 .. 50,000","06:07 (03:03)","Out of the Park Developments","Out of the Park Developments"
"4020","Out of the Park Baseball 23","Apr 22, 2022","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Out of the Park Developments","Out of the Park Developments"
"4022","Touge Shakai","Jan 7, 2023","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Raiyon Studios Pte Ltd","Raiyon Studios Pte Ltd"
"4024","MotoGP24","May 2, 2024","$49.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"4033","AEW: Fight Forever","Jun 29, 2023","$39.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","YUKE'S","THQ Nordic, All Elite Wrestling, LLC"
"4044","Hashiriya Drifter-Online Drift Racing Multiplayer (DRIFT/DRAG/RACING)","Aug 1, 2019","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Midnight Games","Midnight Games"
"4049","Beastieball","Nov 12, 2024","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wishes Ultd.","Klei Publishing"
"4054","Football Coach: College Dynasty","Jan 16, 2025","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Coach Apps","Coach Apps"
"4089","Aokana - Four Rhythms Across the Blue - EXTRA2","Dec 16, 2022","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","sprite, NekoNyan Ltd.","NekoNyan Ltd., HIKARI FIELD"
"4091","BMX Streets","Apr 4, 2024","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mash Games","Mash Games"
"4108","Wild Animal Racing","Mar 7, 2016","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Paul Bird","Marjupi Games"
"4112","Absolute Drift","Jul 29, 2015","$11.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Funselektor Labs Inc., FlippFly","Funselektor Labs Inc."
"4","Lonely Mountains: Snow Riders","Jan 21, 2025","$24.99","N/A (N/A/87%)","0 .. 20,000","00:01 (00:01)","Megagon Industries","Megagon Industries"
"27","Phantom Spark","Aug 15, 2024","$19.99","N/A (N/A/82%)","0 .. 20,000","00:00 (00:00)","Ghosts","Coatsink, Thunderful"
"28","VIDEOBALL","Jul 12, 2016","$9.99","N/A (N/A/82%)","0 .. 20,000","00:00 (00:00)","Action Button Entertainment, LLC","Iron Galaxy Studios"
"44","Bowl Bound College Football","Sep 3, 2015","$19.99","N/A (N/A/80%)","0 .. 20,000","00:00 (00:00)","Grey Dog Software","Viva Meda"
"61","Golden Lap","Sep 26, 2024","$14.99","N/A (N/A/78%)","0 .. 20,000","11:49 (09:05)","Funselektor Labs Inc., Strelka Games","Funselektor Labs Inc."
"67","Cross Racing Championship Extreme","Sep 18, 2018","$9.99","N/A (N/A/77%)","0 .. 20,000","00:00 (00:00)","Invictus Games Ltd.","Invictus Games Ltd."
"77","Mutant Football League","Oct 31, 2017","$14.99","N/A (N/A/74%)","0 .. 20,000","00:00 (00:00)","Digital Dreams Entertainment","Digital Dreams Entertainment"
"100","Basketball Pro Management 2015","Nov 19, 2014","$9.99","N/A (N/A/69%)","0 .. 20,000","00:00 (00:00)","Umix Studios, Cyanide Studio","Nacon"
"101","Trailblazers","May 8, 2018","$29.99","N/A (N/A/69%)","0 .. 20,000","00:00 (00:00)","Supergonk","Rising Star Games"
"112","RetroMania Wrestling","Feb 25, 2021","$29.99","N/A (N/A/66%)","0 .. 20,000","00:00 (00:00)","Retrosoft Studios","Retrosoft Studios"
"117","SpiritSphere DX","Jan 23, 2017","$9.99","N/A (N/A/64%)","0 .. 20,000","00:00 (00:00)","Eendhoorn Games","Eendhoorn Games"
"118","Franchise Hockey Manager 3","Oct 31, 2016","$19.99","N/A (N/A/64%)","0 .. 20,000","00:00 (00:00)","Out of the Park Developments, Minos Games","Out of the Park Developments"
"122","GUTS","Nov 15, 2017","$9.99","N/A (N/A/63%)","0 .. 20,000","00:00 (00:00)","Flux Games Inc.","Libredia Entertainment"
"123","Football Drama","Sep 18, 2019","$11.99","N/A (N/A/63%)","0 .. 20,000","00:00 (00:00)","Open Lab Games, Demigiant","Open Lab Games"
"131","Fight Crab","Jul 29, 2020","$19.99","N/A (N/A/60%)","0 .. 20,000","00:00 (00:00)","Calappa Games","PLAYISM"
"136","Vancouver 2010 - The Official Video Game of the Olympic Winter Games","Feb 18, 2010","N/A","N/A (N/A/57%)","0 .. 20,000","00:00 (00:00)","Eurocom","SEGA"
"143","Snow Moto Racing Freedom","Apr 11, 2017","$12.99","N/A (N/A/50%)","0 .. 20,000","00:00 (00:00)","Zordix AB","Zordix AB"
"144","Bush Hockey League","Mar 28, 2017","$11.99","N/A (N/A/48%)","0 .. 20,000","00:00 (00:00)","V7 Entertainment Inc.","V7 Entertainment Inc."
"146","Modding tools for Cross Racing Championship Extreme","Nov 26, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Invictus Games Ltd.","Invictus Games Ltd."
"147","RX Racing 2019 Pro","Nov 4, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CaRacing Studio","CaRacing Studio"
"148","Skyscraper Climb VR","Mar 19, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Builder7","福州沉浸者网络科技有限公司"
"149","AOS Manager","Jul 14, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GASF Studio","GASF Studio"
"150","Shadow Circuit","Mar 20, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WetWare / Games","WetWare / Games"
"151","Basketball Hero VR","Jun 20, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Caleb Scott","Calebula Studios"
"152","Monster Truck Drive","May 2, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Builder7","Ripknot Systems"
"153","Proton Ball","Feb 18, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exoception","Exoception"
"154","RollerPlay","Dec 3, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YouVisio Productions Inc.","YouVisio Productions Inc."
"155","Life Redemption","Sep 27, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MZ","MZ"
"156","VR DREAM MATCH BASEBALL","Dec 6, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SOOTH Inc.","SOOTH Inc."
"157","Rockochet","Aug 6, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PixPan Studios","PixPan Studios"
"158","Don Bradman Cricket 17 Demo","May 26, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Ant Studios","Big Ant Studios"
"159","Dirt Bike Insanity","Jun 15, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","dev4play","dev4play"
"160","Redfoot Bluefoot Dancing","Jun 20, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rebuff Reality","Rebuff Reality"
"161","DDS(D.I.Y Drone Simulator) Demo","Mar 6, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Juicy Lab","Juicy Lab"
"162","Pro Strategy Football 2018","Dec 15, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kerry Batts","Pro Strategy Games"
"163","Pentaball","Sep 6, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Marco S Hampel, Matthew Reeves, Shivvan Kajaria, William Lu","Firez Studios"
"164","DriftWay","Sep 3, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PlatSTUDIO","PlatSTUDIO, AFBIK Studio"
"165","The Fishery","Oct 14, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Carey White","Carey White"
"166","Beijing 2008 - The Official Video Game of the Olympic Games","Jul 8, 2008","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eurocom","THQ Nordic"
"167","Lord Democrat Strikes Out!","Mar 29, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kevin Lund","K. Lund"
"169","Maximum Archery The Game","Oct 14, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Max Apps LLC","Max Apps LLC"
"171","麻神消消乐","May 15, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MiaoXi Studio","MiaoXi Studio"
"172","Deer Hunter: Reloaded","Oct 24, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game Mechanic Studios","GameMill Entertainment"
"173","Cosmic Kites","Sep 7, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fishmoose Interactive","Fishmoose Interactive"
"174","Gull Kebap VR","Jun 14, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","wosabi","wosabi"
"175","Shelter in Place","Nov 21, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sheetal, Bibek","Paracosma Inc"
"176","箱庭小相撲","Jun 27, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shin Tomura","Shin Tomura"
"177","Dodgeball","Aug 4, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","313 Studios","313 Studios"
"178","VR Soccer Training","Mar 9, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digitalzone","Digitalzone"
"179","Run!!!","Jun 23, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","John Xu, John Morris","John Xu"
"180","POCKET CAR : VRGROUND","Jan 8, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jamong Inc.","Jamong Inc."
"181","Canadian Robot Racing League","Aug 6, 2024","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Moose Furious Games","Moose Furious Games"
"182","kicker","Jun 13, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZREALITY GmbH","Olympia Verlag GmbH"
"183","Synthrally","Jul 30, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Roseball Games","Roseball Games"
"184","CyberRunner","Aug 30, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cybershoes GmbH","Cybershoes GmbH"
"185","Cross Country Express","Apr 10, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Oddfellows Software","Oddfellows Software"
"186","Nightcrawler VR Bowling","May 27, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nadya Primak","Nadya Primak"
"187","Tiska Buska","Sep 13, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","No one important","No one important"
"189","Ultimate Fight Manager 2016","Apr 28, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Snowfall, Night Node Software","Night Node Software"
"190","Basketball Pro Management 2014","Jan 6, 2014","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Umix Studios","Plug In Digital, Cyanide Studio"
"191","Hat Trick Header","Oct 4, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","no-pact","no-pact"
"192","Fatty Space","May 24, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TOPA Games","TOPA Games"
"193","Pro Strategy Football 2019","Aug 28, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kerry Batts","Pro Strategy Games"
"194","Outbreak in Space VR - Free","Apr 25, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Soyhan Yazgan","Soyhan Yazgan"
"195","王者战车","Dec 13, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","acechariot, acechariot","acechariot, acechariot"
"197","Aussie Sports VR 2016","Mar 5, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Reload Labs","Reload Labs"
"198","Miney Company: A Data Racket","Feb 22, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Glass Temple Games","Glass Temple Games"
"199","Grab the Beat","Mar 15, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","G1 Playground","G1 Playground"
"202","Pro Strategy Football 2016","Sep 6, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kerry Batts","Pro Strategy Games"
"203","VR Golf Online","Feb 8, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KakaoVX","Kakao Games Corp."
"204","JoustMania","Jun 11, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aaron Angert","Aaron Angert"
"205","My Neighborhood Arcade","Sep 27, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Layer Arcade","Simulated Entertainment"
"206","TendyTrainer","Dec 3, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Owen Smallwood, Duncan Boyes","Owen Smallwood, Duncan Boyes"
"207","Smackitball","Feb 27, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kevin Fathi, Nima Zeighami, Benjamin Marx, Evie Powell, Kijoon Shin, Victor Brodin, Benjamin Niu, Jason Briggs","VR Sports"
"208","Block Party Sports","May 3, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","All-Star Apps, LLC","All-Star Apps, LLC"
"210","Super Foosball","Feb 20, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DenyingProduct","DenyingProduct"
"211","Rust","May 28, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","William W","William W"
"212","Koliseum Soccer VR","Dec 7, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kynoa SA","Kynoa SA"
"213","RoboSports VR","Nov 7, 2016","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Babeltime","Babeltime"
"214","Treehouse Basketball","Feb 15, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Treehouse","Treehouse"
"215","The Stray Cat","Apr 20, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EugeneLee","EugeneLee"
"217","Brain Boom","Jul 10, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GSE","GSE"
"218","MAVR3D 八般武艺","May 7, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beijing Lanxii Play Technology Co., Ltd","Beijing Lanxii Play Technology Co., Ltd"
"219","Esport Test Toolkit (ETT)","Sep 20, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ahlman Game Studio","Ahlman Game Studio"
"220","VR Jogger","Aug 17, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EnsenaSoft","EnsenaSoft"
"221","Full-On Paintball","Mar 12, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gamepainters","Gamepainters"
"222","Fantasy Gladiators","Jul 20, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Evil Bunneh","Evil Bunneh"
"223","Bowling at the Lake","Dec 3, 2016","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WhirlVFX","WhirlVFX"
"224","Car Crash Couch Party","Jan 31, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fogbound","Fogbound"
"225","Tinkr Garage","Oct 9, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tinkr, Inc.","Tinkr, Inc."
"226","D.R.I.L.L.","Jan 23, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","dfree","VR-Reel Media"
"227","Cross Country Skiing VR","Apr 12, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Levrage","Levrage"
"228","Dancing Angel","May 8, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Le Quang Nhan","3L Company"
"229","CuVRball","Nov 26, 2022","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hypergolic Games","Hypergolic Games"
"230","Hover Cubes: Arena","May 2, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gametology","Deck13"
"231","Ski Doom VR","Aug 13, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","sandman","sandman"
"232","Glitchball","Apr 24, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Reboot Arcade","Reboot Arcade"
"234","Goaltender VR","Feb 19, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CoffeeOD Games","CoffeeOD Games"
"235","VRWorkout","Jul 5, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Michael Gschwandtner","Michael Gschwandtner"
"236","The Professor Presents: #GotHandles","Apr 14, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Secret Location","Mountain Dew"
"237","VIDEO GAME","Nov 12, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Luke Sanderson","Luke Sanderson"
"238","Groove Fit Kingdom!","Jul 18, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ima Create Co., Ltd.","Ima Create Co., Ltd."
"239","Zombie Hobby VR","Jun 29, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pointlight Games","Pointlight Games"
"241","World War Party: Game Of Trump","Nov 11, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","bad monkee","bad monkee"
"242","Dungeonbowl - Knockout Edition","Jul 2, 2012","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cyanide Studio","Nacon"
"243","Skip's Sanity","May 25, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","David Donarumo","David Donarumo"
"244","Kaz Ball","Jun 6, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Doby Digital","Doby Digital"
"245","Cragls","Jan 27, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tim-Jannick Hopp","Tim-Jannick Hopp"
"246","Limberjack","Sep 1, 2016","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DigitasLBi","Husqvarna"
"247","Deathmatch Soccer","Jul 11, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Twin Squid Ltd","Twin Squid Ltd"
"248","RocketGO","Nov 26, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ge Yin","Y.L.Legion"
"251","Football Blitz","Jan 4, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Applava","Applava"
"252","Kickoff Legends","Dec 21, 2016","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","StudioQi","StudioQi"
"253","MOBA GM","Jun 29, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zen GM Games","Zen GM Games"
"257","Q.U.I.R.K.","Mar 29, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","uGen Inc.","uGen Inc."
"258","Clumsy Moose Season","Nov 13, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enrick Lambert","Enrick Lambert"
"260","Beer and Skittls VR","Mar 29, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Soyhan Yazgan","Soyhan Yazgan"
"262","Ahlman Arcade 2018","Jun 30, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team in Time","Ahlman Game Studio"
"263","EnviroGolf","Jan 15, 2014","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Seemingly Pointless","Seemingly Pointless"
"264","Bang Bang Car","Apr 18, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Galaxy Game Studio","Galaxy Game Studio"
"265","Sand to Surf","Apr 24, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Golden Sand Games","Golden Sand Games"
"267","Power Link VR","Aug 30, 2016","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Himi Games","Newsight games"
"269","Beat the Blitz","Mar 1, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Mill","Gatorade"
"270","Rubber Ball VR","Mar 9, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Viraug","Viraug"
"271","Tennis Story","Oct 5, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gersh Games LLC","Gersh Games LLC"
"273","Goofballs","Feb 21, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SMU Guildhall","SMU Guildhall"
